index,decision,reason,site,source_kind,title,url
63,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,와이프 바람난것 같은데 어떡해야 하냐~,https://www.dogdrip.net/333907493
64,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,SLR(스르륵)운영자 해명글 썻다.,https://www.dogdrip.net/72414848
65,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,dogdrip,legacy,국민대 단톡방 사건 현황,https://www.dogdrip.net/66182494
66,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,당근 소모임도 주의해야하는 이유,https://m.pann.nate.com/talk/375292816
67,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임 나가면,https://m.pann.nate.com/talk/374984845
68,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,지인의 불륜사실을 배우자에게 알려야 할까?,https://m.pann.nate.com/talk/375550271
69,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,당근 소모임은 마치 동물의 왕국?,https://m.pann.nate.com/talk/375278215
70,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,온라인 모임같은 소모임 같은거 나가시는 분들?,https://m.pann.nate.com/talk/348083934
71,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,코미디언 대형마트 소모임,https://m.pann.nate.com/talk/347180880
72,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,인터넷이나 소모임에서 동성일지라도 아무나 만나면 안되는 이유,https://m.pann.nate.com/talk/373581099
73,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,어플중에 소모임 하는사람들 심리좀알려주세요,https://m.pann.nate.com/talk/346481453
74,keep,K02_REVIEWED_APP_QUESTION,nate,legacy,소모임 어플 쓰시나요?,https://m.pann.nate.com/talk/373243707
75,keep,K01_REVIEWED_APP_EXPERIENCE,nate,legacy,소모임 어플에서,https://m.pann.nate.com/talk/371553133
76,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,제발 정법소모임 해본애들아,https://m.pann.nate.com/talk/365574721
77,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,연천아이파크 코로나 소모임 제보.고발합니다,https://m.pann.nate.com/talk/353862230
78,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,얘두라 소모임활동 만들어봤는데 어땡?,https://m.pann.nate.com/talk/365580454
79,keep,K02_REVIEWED_APP_QUESTION,nate,legacy,소모임어플 하시는 분들 계신가요?,https://m.pann.nate.com/talk/347788156
80,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,20대초중반 여학생들 많이 나오는 동호회나 소모임없을까요?,https://m.pann.nate.com/talk/328982900
81,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,색다른 전시회! 홍익대학교 예술창작 소모임 '탐구생활' { 지금 } 전.,https://m.pann.nate.com/talk/312132170
82,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,이단아[이별을 단호하게 대처하는 아이들]에서 힘들어하는분들을 위해 소모임을 합니다,https://m.pann.nate.com/talk/320564049
83,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임 홍보!!,https://m.pann.nate.com/talk/326881537
84,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,큐티 나누기 소모임을 열어 볼까 합니다~,https://m.pann.nate.com/talk/120678049
85,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임어플에 미모 상 38살 여자,https://m.pann.nate.com/talk/345523928
86,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,혹시 반에서 과목소모임 해본사람??,https://m.pann.nate.com/talk/365579115
87,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,대학교 소모임 동아리 이런거 꼭 안해도 되지??,https://m.pann.nate.com/talk/365599866
88,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임 강남 개념상실 모임장 k 씨!,https://m.pann.nate.com/talk/326432661
89,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임 동아리 활동 설문조사 (7문항),https://m.pann.nate.com/talk/341924443
90,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,20~30대 직장인 소모임,https://m.pann.nate.com/talk/336593863
91,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,소모임 이즈벡(베프만들기)  운영진 늬들 그렇게 잘났니?,https://m.pann.nate.com/talk/350226676
92,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,대전 찬쉼에서 준비한 넵킨아트 만들기 소모임!!,https://m.pann.nate.com/talk/311981230
93,keep,K02_REVIEWED_APP_QUESTION,nate,legacy,소모임 어플 강퇴시키는곳 많어?,https://m.pann.nate.com/talk/330795483
94,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,"대구 소모임 후기(?),,,,,,,,,,,,,,,",https://m.pann.nate.com/talk/2442212
95,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,부산 20후 ~ 40초 소모임,https://m.pann.nate.com/talk/326497067
96,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,ㅋㅋ~건대 ~소모임!ㅋㅋ_01,https://m.pann.nate.com/talk/110077765
97,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,알바 면접 3번 보고 나서 느낀 거,https://m.pann.nate.com/talk/375495717
98,noise,R01_REVIEWED_NOT_ABOUT_SOMOIM_APP,nate,legacy,최근에 친구 0명이 되버렸네요,https://m.pann.nate.com/talk/375315461
