platform,review_id,rating,review_date_utc,review_year,review_text,review_title,thumbs_up,app_version,source_url
Google Play,95496cc2-9f5f-4660-b044-f2c05bd7ec2d,1,2023-12-08T23:20:51+00:00,2023,글에 사진 첨부하면 화질 실화?,,0,4.7.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,477709b7-decd-4621-9d97-c529de114f18,2,2023-12-08T12:10:03+00:00,2023,메세지 팝업 무음인데 계속 화면 켜지는거 너무 짜증나요,,0,4.7.3,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,5914ffd2-78ff-4b7b-84b1-3f84a50bbfa6,1,2023-11-20T02:43:50+00:00,2023,자동결제 취소 해주세요...메일을 보내도 답장도 안해주시고,,1,4.7.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,ade3fb3e-3757-42db-95e5-1507022c8bea,1,2023-11-19T06:25:16+00:00,2023,소모임 초대 거부 기능좀 해주세요 무분별한 초대 때문에 스트레스 받네요 그리고 운동.취미.기타 배움이나 이런모임 아니면 정신병자 소굴이니 참고하세요 정상인 찾기 매우 힘듭니다,,2,4.7.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,893c16ed-c70a-4c92-a590-b93267a5fe41,3,2023-11-18T13:21:43+00:00,2023,"프리미엄 유저입니다. 앱 자체가 불안정한 점이 몇개 있어요. 1. 당장 신규회원이 들어와서 채팅창에 인사를 하신 게 알람으로 떴는데, 제가 다른 화면을 보고 있어서 모바일 알람은 끄고 다시 들어갔는데 채팅이 안 떠 있습니다.. 2. 그리고 모임장이 게시글을 쓰면 공지가 아니더라도 모든 게시판 상단에 떴다가 새로고침하면 시간 순으로 다시 내려갑니다.. 3. 홈화면 게시글 노출은 최신글 1개가 노출되어야 하는데 모임장글만 노출이 됩니다.. 개선부탁드려요",,19,4.7.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,99b5ba6b-7d62-4880-8a8c-266731d6d85d,2,2023-11-17T05:00:32+00:00,2023,"이 어플 사용에 회의적입니다. 모임마다 다르긴 하죠. 서울에서 운영중인 독서모임 중에 ㄴㅅ라는 모임은 모임장이 8개월 넘게 봐왔으면서 트집 하나 잡아서 강퇴시키더군요. 강퇴 권한이 모임장에게 있으니 본인 마음에 안 들면 강퇴하는데, 한번 강퇴당하면 다시 가입을 못하니 혼자 속만 앓습니다. 대화도 없이요. 인간관계도 8개월 동안 쌓았던 거 다 자르구요. 모임 어플 측에선 이러한 부분에 대해 고치려는 생각이 없어 보입니다. 인터넷 블로그 보면 이 문제로 상처 받고 소모임 어플 탈퇴하는 분들이 많은데요. 물론 그 모임장 성격이 이상하고 독단적이라 생각할 수 있지만, 이러한 시스템을 개선해주지 않는 소모임 측 문제도 있다고 생각합니다. 어플 운영을 통해 이윤을 취하면 그러려니 합니다. 프리미엄 회원 등으로 얻는 이익이 있을 테니까요. 그런데요. 인간적으로 대우 받지 못하는 데서 사람에 대한 실망감을 준다는 것. 그것을 방조하는 데서 오는 사회적인 불이익은 고려치 않는 것 같아, 실망이네요.",,0,4.7.2,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,324fffdc-84aa-4877-911a-7405119d32d8,1,2023-11-13T23:35:12+00:00,2023,PC버전 안 만드는 이유가 뭘까요? 앱 재설치가 안됩니다! 조잡하고 불편해서 개인정보 설정하는 곳도 찾기 힘들 정도 지인 때문에 재설치,,0,3.9.6,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,a7ed3ea4-ebc1-43eb-b4d4-a18992132edf,3,2023-11-03T03:06:59+00:00,2023,소모임 잘쓰고있는데요.. 1가지 수정좀 해주셨음 좋겠어요ㅜㅜ 게시글올리고 사진추가나 사진삭제후 수정할수있었음 좋겠어여ㅜㅜㅜㅜㅜ사진때문에 게시글 삭제후 다시올려야하는게 너무너무너무너무너무 불편해요😭😭😭😭😭,,0,4.7.0,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,0065201d-dfdf-43df-a2b1-39ecfefc5596,1,2023-11-02T04:47:52+00:00,2023,최신 업데이트가 왜 이렇게 되었을까요... 홈에서 내 모임 일정 모아보기가 되어서 좋았었는데요... 지금은 관심없는 모임들 모아보기가 나오네요...,,1,,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
Google Play,db989a59-4fb3-42d3-b878-e9d0b913b99d,3,2023-11-01T00:23:46+00:00,2023,"모임 개설시 사진 필수 첨부, 모임 입장시 인사말 필수 입력은 이해가 안되네요 ㅎㅎ",,2,4.7.0,https://play.google.com/store/apps/details?hl=ko&id=com.friendscube.somoim
